Number,English sentence,Polish sentence,Number of words,Number of letters,Valence all,Arousal all,Dominance all,Origin all,Significance all,Source all,Valence Main Sample,Valence Main Sample,Valence Main Sample,Valence Main Sample Female,Valence Main Sample Female,Valence Main Sample Female,Valence Main Sample Male,Valence Main Sample Male,Valence Main Sample Male,Valence psych,Valence psych,Valence psych,Arousal Main Sample,Arousal Main Sample,Arousal Main Sample,Arousal Main Sample Female,Arousal Main Sample Female,Arousal Main Sample Female,Arousal Main Sample  Male,Arousal Main Sample  Male,Arousal Main Sample  Male,Arousal psych,Arousal psych,Arousal psych,Dominance Main Sample,Dominance Main Sample,Dominance Main Sample,Dominance Main Sample Female,Dominance Main Sample Female,Dominance Main Sample Female,Dominance Main Sample Male,Dominance Main Sample Male,Dominance Main Sample Male,Dominance psych,Dominance psych,Dominance psych,Origin Main Sample,Origin Main Sample,Origin Main Sample,Origin Main Sample Female,Origin Main Sample Female,Origin Main Sample Female,Origin Main Sample Male,Origin Main Sample Male,Origin Main Sample Male,Origin psych,Origin psych,Origin psych,Significance Main Sample,Significance Main Sample,Significance Main Sample,Significance Main Sample Female,Significance Main Sample Female,Significance Main Sample Female,Significance Main Sample Male,Significance Main Sample Male,Significance Main Sample Male,Significance psych,Significance psych,Significance psych,Source Main Sample,Source Main Sample,Source Main Sample,Source Main Sample Female,Source Main Sample Female,Source Main Sample Female,Source Main Sample Male,Source Main Sample Male,Source Main Sample Male,Source psych,Source psych,Source psych,,,,,,,,,,
622,"Inside, the air is musty and fetid.",W środku powietrze jest zatęchłe i smrodliwe.,7,45,4.57,3.15,3.9,6.5,3.16,5.49,51,4.57,2.31,25,4.52,2.16,26,4.62,2.45,,,,53,3.15,2.58,27,3.33,2.58,26,2.96,2.57,,,,52,3.9,2.04,26,3.08,2.03,26,4.73,2.06,,,,52,6.5,2.58,26,6.46,2.67,26,6.54,2.5,,,,51,3.16,1.78,26,3.46,1.91,25,2.84,1.64,,,,53,5.49,2.63,26,5.38,2.72,27,5.59,2.54,,,,648105.5714,14838,9.23,0.29,0.29,0.14,0.00,0.14,0.14,0.00
623,"During the store robbery, the cashier was brutally beaten and died.",W trakcie napadu na sklep kasjer został brutalnie pobity i zmarł.,11,65,2.4,4.23,3.52,5.85,3.27,5.25,52,2.4,1.38,26,2.27,1.32,26,2.54,1.45,,,,52,4.23,2.47,26,4.12,2.37,26,4.35,2.56,,,,52,3.52,1.97,26,3.73,1.82,26,3.31,2.13,,,,52,5.85,2.59,26,6.19,2.72,26,5.5,2.47,,,,51,3.27,1.91,26,3.42,2.07,25,3.12,1.74,,,,53,5.25,2.63,26,5.54,2.65,27,4.96,2.61,,,,435909.6364,4283,9.26,0.36,0.00,0.27,0.09,0.09,0.18,0.00
624,"In this house, everyone tries to have a good cry at least once a day.",W tym domu każdy stara się porządnie wypłakać przynajmniej raz dziennie.,11,72,2.5,5.5,2.6,4.48,6.04,5.6,52,2.5,1.82,26,2.04,1.76,26,2.96,1.89,,,,52,5.5,2.56,26,5.85,2.75,26,5.15,2.37,,,,52,2.6,1.64,26,2.73,1.79,26,2.46,1.49,,,,52,4.48,2.41,26,4.27,2.49,26,4.69,2.32,,,,52,6.04,2.91,26,6.31,2.96,26,5.77,2.86,,,,52,5.6,2.45,26,6.31,2.35,26,4.88,2.56,,,,425679.5455,36617,10.41,0.27,0.18,0.09,0.18,0.00,0.09,0.18
625,"At age 30, she had a job thanks to which she could devote herself to her passion.","W wieku trzydziestu lat miała pracę, dzięki której mogła poświęcić się swojej pasji.",13,84,3.54,4.34,3.21,4.17,4.02,3.98,50,3.54,2.1,24,3.04,2.25,26,4,1.95,,,,53,4.34,2.42,27,4.63,2.47,26,4.04,2.36,,,,52,3.21,1.92,26,3.15,1.9,26,3.27,1.95,,,,52,4.17,2.31,26,4.27,2.31,26,4.08,2.31,,,,52,4.02,2.15,26,4.04,2.14,26,4,2.16,,,,52,3.98,2.55,26,3.58,2.55,26,4.38,2.55,,,,334379.8462,21038,10.04,0.33,0.17,0.25,0.00,0.00,0.17,0.08
626,An eighteen-year-old girl accidentally died as a result of the fight at the club.,W wyniku bójki w klubie zginęła przypadkowo osiemnastoletnia dziewczyna.,9,72,7.37,5.04,7.44,5.56,6.02,5.02,52,7.37,1.54,26,7.65,1.54,26,7.08,1.54,,,,52,5.04,2.06,26,5.38,1.96,26,4.69,2.16,,,,52,7.44,1.64,26,7.46,1.56,26,7.42,1.72,,,,52,5.56,2.5,26,5.54,2.73,26,5.58,2.28,,,,53,6.02,2.6,26,6.81,2.62,27,5.26,2.58,,,,51,5.02,2.26,26,5.46,2.41,25,4.56,2.11,,,,398913.5556,1905,8.55,0.44,0.11,0.11,0.11,0.00,0.22,0.00
627,His body was in bad shape due to extreme exhaustion.,W wyniku skrajnego przemęczenia jego organizm był w ciężkim stanie.,10,67,1.83,6.94,3.29,3.65,6.35,6.44,52,1.83,1.57,26,1.92,2.03,26,1.73,1.11,,,,52,6.94,2.5,26,7.35,2.36,26,6.54,2.63,,,,52,3.29,2.41,26,2.96,2.62,26,3.62,2.2,,,,52,3.65,2.62,26,3.35,2.54,26,3.96,2.69,,,,52,6.35,2.33,26,6.69,2.18,26,6,2.48,,,,52,6.44,2.95,26,6.5,2.96,26,6.38,2.94,,,,394526.6,19850.5,8.98,0.22,0.22,0.33,0.00,0.00,0.22,0.00
628,As a result of an occupational injury his leg had to be amputated without anesthesia.,W wyniku wypadku przy pracy jego noga musiała zostać amputowana bez znieczulenia.,12,81,3.08,4.65,3.44,5.52,5.88,4.4,52,3.08,1.56,26,2.54,1.47,26,3.62,1.65,,,,52,4.65,2.48,26,4.73,2.52,26,4.58,2.44,,,,52,3.44,2.01,26,2.69,2.04,26,4.19,1.98,,,,52,5.52,2.47,26,6,2.29,26,5.04,2.65,,,,52,5.88,2.1,26,5.73,2.21,26,6.04,2,,,,52,4.4,2.37,26,4.38,2.42,26,4.42,2.32,,,,183961.5833,20441,9.24,0.45,0.00,0.27,0.00,0.00,0.27,0.00
629,"1065 people, including 217 children, died in the bombing.","W wyniku zamachu bombowego zginęło 1065 osób, w tym 217 dzieci.",11,63,2.67,7.12,3.06,5.44,6.21,5.16,52,2.67,2.25,26,2.12,2.06,26,3.23,2.44,,,,52,7.12,1.79,26,7.58,1.58,26,6.65,2.01,,,,52,3.06,2.35,26,3.23,2.5,26,2.88,2.2,,,,52,5.44,2.7,26,5.42,2.61,26,5.46,2.8,,,,53,6.21,2.44,26,6.5,2.28,27,5.93,2.59,,,,51,5.16,2.59,26,5.23,2.74,25,5.08,2.43,,,,399962.8,5634,9.11,0.56,0.11,0.11,0.00,0.00,0.22,0.00
630,"In winter, many homeless people freeze from the cold and lack of food.",W zimę wielu bezdomnych zamarza z powodu zimna i braku jedzenia.,11,64,2.48,5.96,2.6,6.1,6.38,6.52,52,2.48,1.77,26,1.73,1.64,26,3.23,1.91,,,,52,5.96,2.8,26,5.73,2.99,26,6.19,2.61,,,,52,2.6,2.56,26,2.23,2.43,26,2.96,2.7,,,,52,6.1,3.21,26,6.54,3.39,26,5.65,3.04,,,,52,6.38,2.85,26,6.88,2.91,26,5.88,2.8,,,,52,6.52,3.09,26,6.96,2.82,26,6.08,3.36,,,,423778.1818,6945,9.46,0.50,0.10,0.10,0.00,0.10,0.20,0.00
631,"In near-death moments, a person is struck by an awareness of a hollowness that cannot be filled.",W momencie śmierci bliskiego uderza człowieka świadomość niczym nie dającej się zapełnić pustki. ,14,97,2.23,5.71,2.46,4.94,5.94,6.08,52,2.23,1.54,26,1.85,1.36,26,2.62,1.72,,,,56,5.71,2.78,26,6.62,2.73,30,4.93,2.82,,,,52,2.46,2.05,26,1.88,1.83,26,3.04,2.26,,,,52,4.94,2.38,26,4.58,2.67,26,5.31,2.09,,,,53,5.94,2.67,27,7.04,2.68,26,4.81,2.67,,,,51,6.08,2.95,25,6.48,3.08,26,5.69,2.84,,,,7592.428571,1380,7.8,0.57,0.14,0.29,0.00,0.00,0.00,0.00
632,"Student vacations usually last three months, from July to the end of September.","Wakacje studenckie trwają zazwyczaj trzy miesiące, od lipca do końca września.",11,78,7.37,4.48,6.15,6.15,4.37,6.13,52,7.37,1.67,26,7.31,1.75,26,7.42,1.59,,,,52,4.48,2.89,26,5.23,2.86,26,3.73,2.91,,,,52,6.15,2.4,26,6.15,2.53,26,6.15,2.27,,,,52,6.15,3.23,26,6.85,3.1,26,5.46,3.36,,,,52,4.37,2.52,26,3.65,2.76,26,5.08,2.28,,,,52,6.13,2.55,26,5.69,2.53,26,6.58,2.56,,,,125592.1818,5083,8.91,0.50,0.10,0.10,0.00,0.00,0.20,0.10
633,"The capital of Poland is Warsaw, and residents of other cities come to it every year.","Warszawa jest stolicą Polski, do której co roku przyjeżdżają mieszkańcy innych miast.",12,85,5.87,3.47,4.38,7.17,4.9,5.88,52,5.87,1.72,26,5.69,1.79,26,6.04,1.65,,,,51,3.47,2.23,25,3.72,2.59,26,3.23,1.89,,,,52,4.38,2.39,26,4.85,2.51,26,3.92,2.27,,,,52,7.17,2.18,26,7.62,1.94,26,6.73,2.41,,,,52,4.9,2.69,26,4.46,2.74,26,5.35,2.64,,,,52,5.88,2.49,26,5.69,2.53,26,6.08,2.45,,,,307738.6667,11016,9.05,0.50,0.25,0.17,0.00,0.00,0.08,0.00
634,He constantly has a headache because he is constantly constipated.,"Wciąż go boli głowa, bo wciąż ma zatwardzenie.",8,46,3.88,4.58,3,5.83,4.1,4.06,52,3.88,2.61,25,3.68,2.87,27,4.07,2.36,,,,52,4.58,2.24,26,5.23,2.4,26,3.92,2.07,,,,52,3,1.94,26,2.42,1.58,26,3.58,2.3,,,,52,5.83,2.48,26,6.08,2.34,26,5.58,2.61,,,,52,4.1,2.79,26,3.85,2.9,26,4.35,2.67,,,,51,4.06,2.63,26,4.15,2.91,25,3.96,2.34,,,,116625.5,33977,10.04,0.14,0.00,0.43,0.00,0.14,0.00,0.29
635,I had not realized earlier how sick I am.,"Wcześniej nie zdawałem sobie sprawy, jak bardzo jestem chory.",9,61,2.67,4.23,3.17,5.62,6.51,3.77,52,2.67,1.73,26,2.04,1.42,26,3.31,2.03,,,,52,4.23,2.27,26,4.54,2.15,26,3.92,2.39,,,,52,3.17,1.81,26,2.88,1.38,26,3.46,2.24,,,,52,5.62,2.25,26,5.42,2.3,26,5.81,2.21,,,,51,6.51,2.4,26,6.73,2.26,25,6.28,2.54,,,,52,3.77,2.58,26,3.12,2.61,26,4.42,2.55,,,,602020.6667,190674,11.26,0.13,0.13,0.25,0.25,0.13,0.00,0.13
636,"There are two people within me, one quite reasonable, the other crazy.","We mnie jest dwu ludzi, jeden zupełnie rozsądny, drugi wariat.",10,62,5.87,5.94,5.63,4.75,5.29,3.9,52,5.87,1.87,25,6.32,1.54,27,5.44,2.18,,,,52,5.94,1.85,26,6.08,1.62,26,5.81,2.07,,,,52,5.63,2.28,26,5.62,2.37,26,5.65,2.18,,,,52,4.75,2.03,26,4.81,1.93,26,4.69,2.12,,,,52,5.29,2.21,26,5.77,2.42,26,4.81,2,,,,51,3.9,2.19,26,3.69,2.09,25,4.12,2.3,,,,211213.5,24057,9.88,0.25,0.38,0.13,0.13,0.00,0.13,0.00
637,Sometimes a sigh of relief is the only reward a person gets for overcoming adversity.,Westchnienie ulgi czasem jest jedyną nagrodą jaką człowiek dostanie po pokonaniu przeciwności losu.,13,99,5.1,4.14,4.92,4.59,4.75,4.4,52,5.1,1.95,26,4.62,1.95,26,5.58,1.95,,,,51,4.14,2.25,25,3.6,2.2,26,4.65,2.3,,,,52,4.92,2.18,26,4.08,2.42,26,5.77,1.94,,,,51,4.59,2.47,25,4.56,2.41,26,4.62,2.52,,,,53,4.75,1.98,27,4.37,1.96,26,5.15,2,,,,52,4.4,2.4,26,4.23,2.6,26,4.58,2.19,,,,131657.0769,5627,8.24,0.46,0.15,0.23,0.00,0.00,0.08,0.08
638,The sight of women and children weeping at the graves of their loved ones who died in the mine is deeply poignant.,"Widok płaczących kobiet i dzieci na grobach swoich bliskich, którzy zginęli w kopalni jest dojmujący.",15,101,2.31,5.69,2.44,2.73,6.71,4.73,52,2.31,1.35,26,2.42,1.64,26,2.19,1.06,,,,52,5.69,2.3,26,6,2.28,26,5.38,2.31,,,,52,2.44,1.53,26,2.35,1.52,26,2.54,1.53,,,,52,2.73,2.14,26,2.54,2.21,26,2.92,2.06,,,,52,6.71,2.46,26,7.12,2.49,26,6.31,2.42,,,,52,4.73,2.92,26,4.81,2.96,26,4.65,2.88,,,,409741.9333,8504,9.13,0.33,0.27,0.20,0.00,0.07,0.13,0.00
639,"Seeing people eating on the train, he could never contain himself.",Widząc jedzących ludzi w pociągu nigdy nie mógł się opanować.,10,61,4.75,4.62,4.5,4.02,3.57,4.62,52,4.75,1.61,26,5.23,1.54,26,4.27,1.68,,,,52,4.62,2.82,26,5.42,3.04,26,3.81,2.59,,,,52,4.5,2.87,26,4.42,2.92,26,4.58,2.81,,,,53,4.02,2.4,26,4.5,2.51,27,3.56,2.29,,,,51,3.57,2.55,26,3.77,2.6,25,3.36,2.49,,,,52,4.62,2.43,26,4.23,2.59,26,5,2.27,,,,813021.3,52569.5,10.39,0.20,0.00,0.40,0.00,0.00,0.10,0.30
640,"I see focused and indifferent faces before me, not expressing even a glimmer of compassion.",Widzę przed sobą twarze skupione i obojętne nie wyrażające nawet cienia współczucia.,12,84,3.69,4.65,3.79,5.98,4.27,4.02,52,3.69,1.57,26,3.23,1.45,26,4.15,1.69,,,,51,4.65,2.49,25,4.72,2.67,26,4.58,2.32,,,,52,3.79,2.35,26,4.04,2.42,26,3.54,2.27,,,,52,5.98,2.58,26,6,2.76,26,5.96,2.4,,,,52,4.27,2.7,26,4.5,2.55,26,4.04,2.84,,,,52,4.02,2.16,26,4,2.23,26,4.04,2.1,,,,463068.3333,16125.5,8.91,0.27,0.09,0.27,0.00,0.09,0.09,0.18
641,I see a photograph showing a dark puddle of blood on the sidewalk.,Widzę zdjęcie przedstawiające ciemną kałużę krwi na chodniku.,8,61,3.52,4.46,4.08,4.82,5.36,5.12,52,3.52,1.85,26,2.81,1.71,26,4.23,1.98,,,,52,4.46,2.08,26,4.88,1.92,26,4.04,2.24,,,,52,4.08,2.42,26,4.08,2.73,26,4.08,2.11,,,,51,4.82,2.47,26,4.81,2.52,25,4.84,2.41,,,,53,5.36,2.7,27,5.59,2.6,26,5.12,2.8,,,,51,5.12,2.98,25,5.04,3.05,26,5.19,2.92,,,,196938.625,5934,8,0.50,0.13,0.25,0.00,0.00,0.13,0.00
642,"I saw him only once, a few hours before his miserable death.","Widziałem go tylko raz, na kilka godzin przed jego marną śmiercią.",11,66,2.76,5.73,4.47,4.6,5.31,4.4,51,2.76,1.9,26,2.62,1.83,25,2.92,1.98,,,,52,5.73,2.11,26,5.5,2.19,26,5.96,2.04,,,,51,4.47,2.74,25,3.96,2.66,26,4.96,2.82,,,,52,4.6,2.4,26,4.58,2.38,26,4.62,2.42,,,,52,5.31,2.53,26,5.19,2.42,26,5.42,2.65,,,,52,4.4,2.14,26,3.54,2.15,26,5.27,2.13,,,,241758.9091,73598,10.76,0.38,0.13,0.13,0.00,0.00,0.25,0.13
643,Many people are indifferent to the hunger that continues in Africa.,"Wielu ludzi jest obojętnych na głód, jaki panuje w Afryce.",10,58,3.67,4.69,3.85,5.82,6.04,5.02,52,3.67,1.5,26,3.19,1.37,26,4.15,1.63,,,,52,4.69,1.95,26,6.08,1.87,26,3.31,2.03,,,,52,3.85,2.28,26,3.88,2.34,26,3.81,2.22,,,,51,5.82,2.3,26,6.19,2.25,25,5.44,2.35,,,,52,6.04,2.52,26,6.69,2.56,26,5.38,2.48,,,,52,5.02,2.76,26,5.38,2.89,26,4.65,2.63,,,,470172.6,31341,9.76,0.33,0.22,0.22,0.00,0.00,0.22,0.00
644,"Many men feel repulsion towards their pregnant wife, but they can’t stand the thought of her in another man’s arms.","Wielu mężczyzn czuje odrazę do ciężarnej żony, ale nie potrafi znieść myśli, że mogłaby się ona znaleźć w ramionach innego mężczyzny.",21,133,3.4,5.92,4.77,3.88,5.29,4.13,53,3.4,1.67,26,3.5,1.63,27,3.3,1.71,,,,50,5.92,2.07,25,6.16,2.22,25,5.68,1.92,,,,53,4.77,2.76,27,4.93,2.67,26,4.62,2.86,,,,51,3.88,2.4,25,4.28,2.31,26,3.5,2.48,,,,52,5.29,2.6,26,5.42,2.59,26,5.15,2.6,,,,52,4.13,2.51,26,3.92,2.43,26,4.35,2.59,,,,531866.5238,20166,10.28,0.30,0.15,0.25,0.00,0.10,0.10,0.10
645,"Many men vied for her hand, but she refused them, seeking happiness in solitude.","Wielu mężczyzn ubiegało się o jej rękę, ale ona odmawiała, szczęścia upatrując w samotności.",14,92,4.12,3.79,5.73,4.83,4.83,3.67,52,4.12,2.01,26,4.38,2.03,26,3.85,1.99,,,,56,3.79,2.39,26,3.73,2.39,30,3.83,2.39,,,,52,5.73,2.41,26,6.54,2.02,26,4.92,2.79,,,,52,4.83,2.59,26,4.96,2.76,26,4.69,2.43,,,,52,4.83,2.55,26,5.23,2.63,26,4.42,2.47,,,,52,3.67,2.44,26,3.62,2.6,26,3.73,2.27,,,,487581.3333,69552.5,10.62,0.40,0.10,0.10,0.00,0.10,0.20,0.10
646,"You know, the worst thing about dying seems to me to be that a person has to do it himself.","Wiesz, w umieraniu najstraszniejsze wydaje mi się to, że człowiek jest zdany tylko na siebie.",15,93,2.75,4.48,3.73,4.63,6.08,4.25,52,2.75,1.92,26,2.12,1.97,26,3.38,1.86,,,,52,4.48,2.42,26,5.19,2.57,26,3.77,2.26,,,,52,3.73,1.86,26,3.35,2.04,26,4.12,1.68,,,,52,4.63,2.54,26,4.31,2.7,26,4.96,2.39,,,,52,6.08,2.42,26,6.81,2.28,26,5.35,2.57,,,,52,4.25,2.86,26,4.19,2.81,26,4.31,2.9,,,,814404.6,362333,11.38,0.23,0.08,0.31,0.00,0.08,0.15,0.15
647,"The village was self-sufficient: women provided milk, meat, and skins.","Wieś była samowystarczalna: kobiety dostarczały mleka, mięsa i skór.",9,68,5.31,3.23,5.25,6.35,4.92,5.33,52,5.31,1.62,26,4.73,1.74,26,5.88,1.5,,,,52,3.23,2.67,26,3.27,2.51,26,3.19,2.84,,,,52,5.25,2.48,26,4.85,2.53,26,5.65,2.43,,,,52,6.35,2.46,26,6.31,2.49,26,6.38,2.42,,,,51,4.92,2.64,26,4.69,2.55,25,5.16,2.73,,,,52,5.33,2.43,26,5.38,2.47,26,5.27,2.39,,,,198139.25,1949.5,8.12,0.63,0.00,0.25,0.00,0.13,0.00,0.00
648,"The right path always evokes positive feelings, satisfaction, and gives a sense of meaning.","Właściwa obrana droga zawsze wywołuje w nas pozytywne odczucia, satysfakcję i daje nam poczucie sensu.",15,102,7.21,4.63,7.02,5.56,6.69,4.33,52,7.21,1.59,26,7.69,1.23,26,6.73,1.96,,,,52,4.63,2.55,26,4.73,2.72,26,4.54,2.37,,,,52,7.02,1.71,26,7.19,1.82,26,6.85,1.59,,,,52,5.56,2.26,26,5.62,2.2,26,5.5,2.31,,,,52,6.69,2.35,26,7.19,1.97,26,6.19,2.72,,,,51,4.33,2.69,26,4.19,2.6,25,4.48,2.78,,,,243267.5333,8098,8.85,0.31,0.15,0.31,0.00,0.08,0.08,0.08
649,"In fact she did nothing by herself, but threw the whole burden onto Sophie.","Właściwie nic sama nie zrobiła, tylko zrzuciła całą pracę na Zosię.",11,67,3.58,4.94,4.73,6.23,3.83,5.71,52,3.58,1.42,26,3.5,1.4,26,3.65,1.43,,,,52,4.94,1.83,26,5.88,1.79,26,4,1.87,,,,52,4.73,2.52,26,4.77,2.54,26,4.69,2.5,,,,52,6.23,2.67,26,6.38,2.73,26,6.08,2.61,,,,52,3.83,2.62,26,4.08,2.64,26,3.58,2.6,,,,52,5.71,2.37,26,6.08,2.5,26,5.35,2.24,,,,549131.1818,24640,10.03,0.27,0.18,0.18,0.09,0.00,0.09,0.18
650,Vlad was murdered by the Gestapo while he was being tortured.,Włodek został zamordowany przez gestapo w czasie tortur.,8,56,1.87,6.5,2.94,5.4,6.42,5.08,52,1.87,1.93,26,1.65,1.99,26,2.08,1.86,,,,52,6.5,2.58,26,6.5,2.74,26,6.5,2.42,,,,52,2.94,2.27,26,2.54,1.9,26,3.35,2.63,,,,52,5.4,2.65,26,5.69,2.63,26,5.12,2.66,,,,52,6.42,2.28,26,6.73,2.21,26,6.12,2.36,,,,51,5.08,3.06,26,5.85,3.08,25,4.28,3.04,,,,286330.5714,17367,9.49,0.43,0.00,0.29,0.00,0.00,0.29,0.00
651,William sensed that he was getting hot with ecstasy and cold with fear.,"Wojtek uczuł, że robi mu się gorąco z rozkoszy i zimno ze strachu.",13,66,5.77,5.19,4.81,3.56,4.29,3.38,52,5.77,1.45,26,5.77,1.3,26,5.77,1.61,,,,52,5.19,2.29,26,5.15,2.42,26,5.23,2.17,,,,52,4.81,1.96,26,5.04,1.9,26,4.58,2.02,,,,52,3.56,2.43,26,3.23,2.72,26,3.88,2.15,,,,52,4.29,2.51,26,3.88,2.5,26,4.69,2.51,,,,52,3.38,2.21,26,3.58,2.45,26,3.19,1.98,,,,564638.4167,84659.5,10.53,0.27,0.00,0.09,0.18,0.18,0.18,0.09
652,"You preferred your imbecile’s life, happiness would bore us, and so we’ll die separately and alone.","Wolałeś swoje życie kretyna, szczęście by nas znudziło, więc zdechniemy osobno i samotnie.",13,90,2.71,5.06,4.1,4.98,5.81,4.42,52,2.71,2.24,26,2.38,2.14,26,3.04,2.34,,,,52,5.06,2.41,26,5,2.49,26,5.12,2.33,,,,49,4.1,2.78,23,3.61,2.96,26,4.54,2.61,,,,54,4.98,2.37,28,5.39,2.34,26,4.54,2.41,,,,52,5.81,2.77,26,6.12,2.83,26,5.5,2.71,,,,52,4.42,2.75,26,4.42,2.87,26,4.42,2.63,,,,168811,17087,8.93,0.17,0.08,0.33,0.17,0.17,0.00,0.08
653,"Falling into a coma, a person dissolves into nothingness, and after he wakes up he usually does not remember anything.","Wpadając w śpiączkę człowiek rozpływa się w nicości, a po przebudzeniu najczęściej nie pamięta niczego.",15,103,3.71,2.81,3.02,5,4.96,4.65,52,3.71,1.92,26,3.38,1.76,26,4.04,2.08,,,,52,2.81,1.88,26,2.58,1.93,26,3.04,1.83,,,,50,3.02,2.66,24,2.21,2.57,26,3.77,2.75,,,,53,5,2.54,27,5.11,2.49,26,4.88,2.6,,,,52,4.96,2.38,26,5.73,2.21,26,4.19,2.54,,,,52,4.65,2.14,26,4.38,2.15,26,4.92,2.14,,,,717718.8,25222,9.64,0.27,0.00,0.27,0.07,0.07,0.20,0.13
654,"With the inventions of the wheel and money, people started doing business. ",Wraz z wynalezieniem koła i pieniędzy ludzie zaczęli kręcić interesy.,10,69,5.96,4.54,5.89,7.81,5.5,5.69,52,5.96,1.88,26,5.81,2.08,26,6.12,1.68,,,,52,4.54,2.56,26,4,2.21,26,5.08,2.91,,,,56,5.89,2.63,26,5.77,2.33,30,6,2.89,,,,52,7.81,1.69,26,8,1.47,26,7.62,1.91,,,,52,5.5,2.61,26,5.15,2.81,26,5.85,2.41,,,,52,5.69,2.36,26,6,2.16,26,5.38,2.56,,,,292977.4,4664,9.17,0.40,0.00,0.30,0.00,0.10,0.10,0.10
655,"She finally found the lock in her door, hearing the increasingly clear breaths of someone approaching in the darkness.","Wreszcie natrafiła na zamek w swoich drzwiach, słysząc coraz wyraźniejszy oddech kogoś, kto nadchodził w ciemnościach.",16,118,3.14,6.56,2.84,4.23,4.79,5.6,51,3.14,1.98,26,3.15,1.93,25,3.12,2.03,,,,52,6.56,1.95,26,7.15,1.62,26,5.96,2.29,,,,51,2.84,1.8,25,2.76,1.89,26,2.92,1.72,,,,52,4.23,2.34,26,4.31,2.23,26,4.15,2.45,,,,52,4.79,2.55,26,5.31,2.43,26,4.27,2.68,,,,52,5.6,2.37,26,5.96,2.51,26,5.23,2.23,,,,331264.1875,5860,8.78,0.38,0.13,0.19,0.00,0.00,0.19,0.13
656,"He returned to his bedroom, sweating and shivering with excitement.",Wrócił do swej sypialni mokry od potu i drżący z podniecenia.,11,61,6.06,5.27,5.46,2.52,4.4,4.04,53,6.06,2.2,27,5.7,2.06,26,6.42,2.34,,,,52,5.27,2.51,26,5.5,2.52,26,5.04,2.51,,,,56,5.46,2.26,26,5.62,1.96,30,5.33,2.53,,,,52,2.52,2.14,26,2.19,2.15,26,2.85,2.12,,,,52,4.4,2.54,26,4.42,2.4,26,4.38,2.69,,,,52,4.04,2.25,26,3.96,2.33,26,4.12,2.17,,,,376649.1818,3222,9.12,0.27,0.18,0.18,0.00,0.09,0.27,0.00
657,"Marvelous ideas costs very little, but the people who turn them into reality are priceless.","Wspaniałe pomysły kosztują grosze, a bezcenni są ludzie, którzy je urzeczywistniają.",11,84,7.15,4.83,5.52,4.54,5.73,4.44,52,7.15,1.99,26,7.58,1.85,26,6.73,2.13,,,,52,4.83,2.54,26,5.35,2.77,26,4.31,2.31,,,,52,5.52,2.52,26,5.96,2.57,26,5.08,2.47,,,,52,4.54,2.7,26,4.04,2.59,26,5.04,2.81,,,,52,5.73,2.48,26,6.42,2.58,26,5.04,2.39,,,,52,4.44,2.51,26,4.5,2.46,26,4.38,2.55,,,,101934.5455,8911,8.38,0.30,0.30,0.30,0.00,0.10,0.00,0.00
658,Memories warm a person up from the inside.,Wspomnienia ogrzewają człowieka od środka.,5,42,6.3,5.13,5.87,2.75,5.81,3.65,56,6.3,1.99,26,7.08,2.02,30,5.63,1.96,,,,52,5.13,2.7,26,5.12,2.81,26,5.15,2.59,,,,52,5.87,2.11,26,6.69,2.45,26,5.04,1.77,,,,52,2.75,2.11,26,2.31,1.84,26,3.19,2.38,,,,52,5.81,2.27,26,6.12,2.51,26,5.5,2.03,,,,52,3.65,2.5,26,3.69,2.67,26,3.62,2.33,,,,57509.8,10628,8.57,0.60,0.00,0.20,0.00,0.00,0.20,0.00
659,Compassion is a cross the compassionate person is nailed to.,Współczucie jest krzyżem do którego przybity jest współczujący.,8,63,4.17,4.46,3.92,4.29,4.56,4.63,52,4.17,1.23,26,3.62,1.22,26,4.73,1.24,,,,52,4.46,2.37,26,4.35,2.36,26,4.58,2.39,,,,52,3.92,2.48,26,3.73,2.39,26,4.12,2.57,,,,52,4.29,2.53,26,4.65,2.75,26,3.92,2.3,,,,52,4.56,2.12,26,5,2.31,26,4.12,1.94,,,,52,4.63,2.01,26,4.77,1.91,26,4.5,2.1,,,,453827.625,13533,9.2,0.13,0.25,0.50,0.00,0.00,0.13,0.00
660,I am doing all I can to not punch him in the face.,"Wstrzymuję się jak tylko mogę, żeby nie dać mu w pysk.",11,54,4.55,6.76,6.21,4.98,4.67,3.63,49,4.55,1.84,23,4.17,1.76,26,4.88,1.92,,,,54,6.76,2.06,28,6.86,1.81,26,6.65,2.33,,,,52,6.21,2.19,26,6.46,2.22,26,5.96,2.16,,,,52,4.98,3.01,26,4.96,3.14,26,5,2.88,,,,52,4.67,2.55,26,4.54,2.31,26,4.81,2.8,,,,52,3.63,2.48,26,3.81,2.54,26,3.46,2.42,,,,866114.5455,207015,11.63,0.10,0.00,0.30,0.00,0.20,0.10,0.30
