Words,Length,AROU M,AROU SD,VAL M,VAL SD
sale,4,5.212,2.293,6.618,1.351
salmon,6,3.242,1.826,5.353,1.135
saloon,6,3.875,1.996,5.29,1.022
salsa,5,5.727,2.313,5.645,1.404
salt,4,3.257,1.842,4.914,1.18
salty,5,5.032,2.024,4.355,1.471
salutation,10,4.207,1.954,6.452,1.388
salute,6,5.094,2.112,6,1.859
salvage,7,4.471,2.076,5.029,1.823
salvaged,8,5,2.06,5.6,2.003
same,4,3.121,1.838,4.906,0.458
sandals,7,3,1.732,5.324,0.756
sandwich,8,4.719,2.183,5.971,1.276
sane,4,4.912,1.991,6.657,1.603
sanity,6,5.371,1.987,6.343,1.739
sapphire,8,5.813,2.256,6.788,1.174
satire,6,4.5,2.031,5.233,1.174
satisfaction,12,6.686,1.953,7.794,1.023
satisfied,9,5.939,2.309,7.636,0.948
sauce,5,3.765,2.059,5.657,0.955
sauna,5,5.286,2.514,6.4,1.377
sausage,7,4.303,2.316,5.781,1.268
savant,6,6.13,1.801,6.542,1.633
saviour,7,5.882,2.285,7.546,1.616
saxophone,9,5.576,1.923,5.8,1.166
scab,4,4.484,1.949,3.71,1.197
scald,5,5.177,2.345,2.688,1.102
scale,5,2.853,1.478,5.029,1.071
scale (fish),5,3.121,1.903,4.794,1.079
scale (magnitude),5,4.5,2.239,5.303,1.403
scale (musical),5,5.118,2.011,6.529,1.519
scale (weighing),5,3.588,2.157,5.029,1.253
scalp,5,3.636,2.267,4.5,1.091
scalpel,7,4.455,1.986,4.515,1.306
scandal,7,6.257,2.633,2.543,1.203
scapegoat,9,3.969,2.114,2.906,1.702
scar,4,4.177,2.479,3.514,1.592
scarce,6,3.697,1.915,2.912,1.011
scare,5,6.688,1.758,2.656,1.079
scarecrow,9,4.3,1.829,4.5,1.118
scared,6,5.353,2.507,2.647,1.21
scarf,5,3.344,1.725,5.469,0.935
scarlet,7,5.8,2.109,5.343,1.511
scars,5,5.438,2.106,2.909,1.401
scary,5,5.938,1.919,3.125,1.516
scent,5,5.563,2.045,6.706,1.404
sceptic,7,4.364,2.072,3.394,1.347
sceptical,9,4.324,2.166,3.424,1.577
scheme,6,3.849,1.877,4.394,0.983
scholar,7,4.771,2.192,6.912,1.292
school,6,4.333,1.77,5.229,1.806
science,7,6.029,1.844,7.059,1.392
scientific,10,5.2,2.227,6.429,1.644
scientist,9,5.182,2.153,7.03,1.359
scissors,8,4.657,1.956,4.429,0.871
scoop,5,3.97,2.052,5.394,0.983
scooter,7,4.438,2.015,5.281,0.717
scope,5,4.032,1.555,5.097,0.64
scorch,6,5.625,1.916,3.29,1.083
score,5,4.677,2.07,5.839,1.019
scored,6,5.613,2.135,6.438,1.248
scorn,5,4.879,2.199,2.636,0.846
scorpion,8,4.5,2.817,3.886,1.141
scrap,5,4,1.682,4.032,1.231
scream,6,6.857,2.344,2.543,1.338
screaming,9,6.563,2.423,2.182,1.29
screw,5,4.061,1.841,4.382,1.058
screw (builder),5,3.576,1.759,5.088,0.818
screw (sex),5,7.273,2.049,5.758,2.511
screwdriver,11,3.853,2.074,4.824,0.89
script,6,4.031,1.794,5.424,1.045
scrum,5,3.667,2.211,4.452,1.011
scum,4,4.206,2.632,1.882,1.157
scurvy,6,3.912,2.683,2.059,1.211
sea,3,5.546,1.653,6.091,1.111
seahorse,8,4.343,2.042,5.743,1.203
seal,4,4.094,1.91,5.807,1.119
seal (animal),4,4.257,2.089,5.943,1.473
seal (close),4,3.406,1.558,5.343,1.068
seasick,7,3.543,2.234,2.914,1.273
season,6,4.875,1.965,5.758,1.232
season (add spice),6,5.057,2.19,6.324,1.077
season (period of time),6,4.758,2.202,6.441,1.439
seasonal,8,5.059,2.485,6.273,1.582
seasonings,10,4.939,2.117,6.324,1.049
seat,4,3.265,1.93,5.257,0.691
second,6,3.182,1.66,5.091,1.138
second (position),6,4.152,2.091,5.412,1.375
second (unit of time),6,3.25,1.785,5.086,0.439
secretary,9,4.571,2.088,5.343,0.86
section,7,3.6,1.694,4.886,0.747
sector,6,2.656,2.01,4.909,0.9
secure,6,4.371,2.099,7.758,1.181
sediment,8,3.033,1.76,4.719,1.179
seduce,6,7.5,1.521,6.063,1.368
seduction,9,7.563,1.368,6.242,2.001
seed,4,4.758,1.558,6.273,1.286
seek,4,4.824,1.524,5.594,0.931
seesaw,6,4.057,2.216,6.059,1.327
seize,5,5.944,2.248,3.944,1.855
seldom,6,3.091,1.525,3.933,1.237
select,6,3.706,1.856,5.382,1.164
select (choose),6,4.941,2.127,5.971,1.014
select (elite),6,4.939,2.029,4.968,1.84
selection,9,4.353,1.954,5.303,1.058
selfish,7,4.824,2.268,2.235,0.842
sell,4,4.543,2.156,5.343,1.12
semester,8,3.938,1.936,5.097,1.467
send,4,3.882,1.875,5.485,1.048
senior,6,3.677,1.614,5.29,1.275
sensation,9,7.677,1.322,7.029,1.276
sensational,11,6.853,1.683,7.667,1.198
sense,5,5.857,2.002,6.257,1.078
sense (common),5,4.125,2.103,7.156,1.093
sense (feel),5,6.229,2.166,6.371,1.221
sensible,8,4.032,1.892,6.906,1.234
sensitive,9,5.206,2.298,5.677,1.89
sensual,7,6.882,2.246,7.364,1.251
sentence,8,3.469,1.52,5,0.612
sentence (phrase),8,3.371,1.929,5.265,0.699
sentence (prison),8,5.121,2.371,2.429,1.661
sentiment,9,4.656,1.946,6.333,1.682
sentimental,11,5.588,1.849,6.706,1.637
septic,6,4.177,2.022,2.849,1.617
serene,6,4.903,2.053,6.964,1.592
series,6,4.118,2.055,5.441,0.976
serious,7,3.879,1.935,3.914,1.273
sermon,6,2.818,1.93,4.516,1.456
serve,5,4.571,2.195,4.829,1.647
serve (perform duties),5,4.273,2.15,4.939,1.808
serve (tennis),5,4.029,2.149,5.324,0.674
service,7,3.853,1.942,5.971,1.445
services,8,4.406,1.918,5.813,1.184
session,7,4.03,2.022,5.25,0.791
set,3,3.412,1.7,5.343,1.094
set (determined),3,4.875,1.996,6.909,1.658
set (group),3,3.647,1.696,5.212,0.686
set (solidify),3,3.879,1.838,5.455,1.104
setback,7,4.091,1.747,3.118,1.207
settle,6,3.091,1.602,5.588,1.331
settlement,10,4.061,1.613,5.765,1.395
several,7,3.886,1.848,5.343,0.86
severe,6,5.206,2.272,2.5,1.243
sew,3,2.688,1.53,5.486,0.996
sewer,5,3.294,1.775,3.441,1.666
sex,3,7.424,1.97,7.061,1.496
sex (gender),3,6.147,1.751,5.588,1.458
sex (intercourse),3,7.485,2.017,7.485,1.209
sexual,6,7.686,1.617,7.257,1.401
sexy,4,7.719,1.179,7.686,1.141
shade,5,3.471,2.118,5.03,1.218
shade (out of the sun),5,3.75,1.803,5.688,1.236
shade (tint),5,3.343,1.638,5.114,1.214
shadow,6,4.625,2.103,4.147,1.417
shaft,5,5.065,2.184,4.727,1.746
shake,5,5.647,2.168,4.677,1.3
shaky,5,4.818,1.403,3.344,1.049
shallow,7,3.618,1.476,3.441,1.143
shame,5,3.971,2.229,2.294,1.099
shameful,8,4.515,2.258,2.333,1.198
shampoo,7,3.548,1.603,5.793,1.448
shape,5,3.471,1.595,5.441,0.976
share,5,4.471,1.851,6.824,1.124
shark,5,6.046,2.086,3.818,1.476
sharp,5,6.29,1.689,3.774,1.946
sharp (blade),5,5.371,2.879,3.343,1.723
sharp (smart),5,5.515,2.324,7.364,1.389
sharpen,7,5.514,1.948,4.943,1.33
shave,5,4.143,2.257,5.294,1.016
shawl,5,3.936,1.759,5.233,1.055
shear,5,3.906,1.308,4.546,1.208
sheep,5,3.719,1.754,5.484,1.5
sheepskin,9,3.697,1.883,5.03,1.087
sheer,5,4.529,2.033,5.429,1.249
sheer (thin),5,4.121,1.996,4.75,1.581
sheer (utter),5,4.355,1.993,4.567,1.023
shelf,5,3.118,1.676,4.97,0.521
shell,5,3.677,1.692,5.469,1.199
shell (military),5,5.147,2.088,3.559,1.701
shell (sea),5,4.375,1.709,5.97,1.141
shelter,7,3.829,1.89,6.559,1.612
sherry,6,4.71,2.035,5.357,1.109
shield,6,5.515,1.777,6.265,1.481
shine,5,6.286,1.717,7.486,1.079
shiny,5,5.967,2.359,6.455,1.437
ship,4,4.788,2.384,5.667,1.172
ship (boat),4,3.97,1.946,5.6,1.2
ship (transport),4,3.969,1.912,5.353,0.967
ships,5,4.719,1.605,5.636,0.915
shirt,5,4.133,1.91,5.258,0.841
shit,4,3.371,2.218,2.343,1.567
shock,5,5.807,2.206,3.25,0.75
shocking,8,5.75,2.411,3.406,1.538
shoe,4,4.265,2.292,5.629,0.929
shoes,5,4.212,2.293,6.057,1.218
shoot,5,5.029,2.706,3,1.723
shoot (film),5,5.094,2.156,5.879,0.946
shoot (gun),5,6.029,2.063,2.382,1.372
shoot (plant),5,3.546,1.876,6.219,1.408
shooting,8,6.029,2.526,2.303,1.446
shore,5,4.882,2.011,6.324,1.13
short,5,3.742,1.436,4.323,0.69
shortage,8,3.371,1.958,2.943,1.013
shot,4,5.364,2.333,3.152,1.654
shot (gun),4,5.571,2.296,2.647,1.453
shot (injection),4,5.118,2.587,3.886,1.6
shotgun,7,5.412,2.463,2.6,1.418
show,4,5.571,1.825,6.029,1.248
shrew,5,3.563,2.164,4.424,1.349
shrewd,6,4.429,2.074,4.294,1.791
shriek,6,5.853,2.636,2.818,1.527
shrill,6,5.212,2.129,4,1.541
shrimp,6,3.118,1.843,4.886,0.919
shroud,6,3.452,1.811,4.258,1.217
shrug,5,3.147,1.683,3.882,1.157
shudder,7,5.333,2.113,3.281,1.152
shuddering,10,4.529,1.898,3.177,1.014
shy,3,4.177,1.977,3.886,1.326
sick,4,3.727,2.093,2.281,1.152
sick (disgusting),4,4.2,2.459,2.324,1.429
sick (ill),4,4.333,2.305,2.118,0.932
sickness,8,3.794,2.349,2.371,1.017
sigh,4,3.059,1.474,3.688,1.333
signal,6,4.091,2.137,5.486,0.874
silence,7,3.531,2.121,4.909,1.676
silent,6,4.057,2.378,5,1.219
silk,4,5.719,2.05,6.742,1.163
silly,5,5.742,1.665,5.188,1.467
simmer,6,3.719,1.875,5.206,1.183
simple,6,4.29,1.904,5.909,1.505
sin,3,5.781,2.328,2.059,1.846
sincere,7,4.543,2.195,7.118,1.078
sing,4,6.375,1.635,7.25,1.146
singer,6,6,2.16,6.857,1.199
singular,8,3.419,1.719,4.912,1.314
sinister,8,5.212,2.879,2,0.97
sink,4,2.813,1.424,4.636,1.367
sink (dishes),4,2.588,1.717,4.206,0.963
sink (go down),4,3.412,2.198,2.824,1.175
sins,4,4.424,2.349,2.471,1.289
sissy,5,3.353,2.042,3.471,1.519
sister,6,4.969,2.069,6.4,1.76
sit,3,3.543,1.746,5.343,1.068
situation,9,4.559,1.943,4.743,1.024
skeleton,8,4.394,2.335,4.303,1.467
sketch,6,3.771,1.658,5.941,0.968
sketch (drawing),6,4.75,2.136,5.735,1.171
sketch (play),6,4.818,2.066,5.875,1.269
ski,3,5,2.275,5.686,1.214
skiing,6,5.758,1.985,5.879,1.647
skijump,7,5.914,2.729,5.771,1.017
skill,5,5.939,2.201,7.455,1.305
skilled,7,5.412,2.074,7.618,1.138
skin,4,5.774,1.539,5.645,1.094
skinny,6,5.029,2.348,4.829,1.594
skirt,5,5.061,2.029,5.909,1.164
skirt (clothes),5,5.371,2.058,5.765,1.031
skirt (go around),5,4.5,1.82,4.853,0.944
skis,4,4.633,2.137,5.719,1.179
skull,5,5,1.785,4.552,1.567
skunk,5,4.177,2.64,3.727,2.206
sky,3,5.606,2.449,6.882,1.623
skyline,7,5.03,2.38,6.394,1.324
skyscraper,10,4.571,2.309,5.057,1.689
slab,4,2.548,1.562,4.323,1.089
slack,5,3.206,1.641,3.514,1.381
slap,4,5.471,2.428,2.529,1.007
slash,5,5.235,2.365,3,1.515
slaughter,9,5.656,2.605,1.438,0.747
slaughterhouse,14,5.6,2.498,2.114,1.19
slave,5,5.092,2.641,1.554,0.878
sleek,5,5.588,1.629,6.484,1.267
sleep,5,5.273,2.81,7.758,1.303
sleepy,6,2.697,1.66,4.121,1.43
slide,5,4.697,1.85,5.441,1.193
slight,6,3.25,1.479,4.849,0.925
slight (little),6,3.057,1.567,4.882,0.9
slight (offend),6,4.394,1.774,3.229,1.017
slime,5,4.194,2.348,3.061,1.254
slimy,5,4.057,2.177,2.853,0.845
slip,4,4.657,1.835,3.514,1.131
slip (mistake),4,4.333,2.344,3,0.985
slip (notepaper),4,3.382,1.681,5.171,0.609
slip (slide),4,4.941,2.209,3.912,1.401
slippers,8,3.559,1.834,5.788,1.552
slippery,8,4.697,2.022,3.6,1.224
slope,5,3.6,1.945,5.139,1.032
slow,4,2.636,1.453,3.467,0.991
slug,4,2.677,2.191,3.719,1.179
slug (hit),4,4.303,1.899,3.152,1.184
slug (insect),4,2.471,1.613,3.849,1.417
sluggish,8,2.061,1.496,2.576,0.889
slum,4,4.065,2.422,2.25,1.031
slump,5,2.424,1.303,3.294,1.125
slush,5,3.294,1.775,4.029,1.014
small,5,3.424,1.826,4.886,0.979
smallpox,8,4.118,2.471,2.265,1.461
smart,5,6.5,1.819,7.8,1.116
smart (intelligent),5,6.324,1.622,7.909,0.965
smart (well-dressed),5,5.4,2.073,7.171,1.54
smash,5,5.969,2.543,2.875,1.053
smear,5,3.636,2.101,4.118,1.078
smell,5,4.441,2.44,4.265,1.596
smelly,6,3.571,2.004,2.353,1.185
smile,5,7.156,1.679,8.303,0.87
smiling,7,6.824,1.932,8.265,0.949
smoke,5,5.212,2.027,3.333,1.589
smoker,6,4.188,2.698,2.514,1.381
smooth,6,5.485,1.828,6.939,1.071
snack,5,5.029,1.933,6.177,1.2
snail,5,2.531,1.346,4.645,0.969
snake,5,4.909,2.366,3.657,1.62
snaked,6,4.188,1.793,3.406,1.195
snap,4,5.323,1.711,4.065,0.982
snapped,7,5,1.847,3.382,1.213
snatch,6,5.548,2.138,3.226,1.263
snob,4,4.303,1.714,2.853,1.263
snort,5,4.455,2.311,3.886,1.304
snow,4,6.629,2.231,6.029,1.485
snowman,7,5.824,2.135,6.743,1.338
snuggle,7,6.394,2.159,8,0.921
soak,4,4,2.255,4.559,1.701
soar,4,5.942,2.365,6.939,1.791
sob,3,4.156,2.399,2.706,1.34
sober,5,4.303,1.842,6.299,1.372
sobriety,8,4.448,2.027,5.714,1.359
social,6,5.844,1.938,6.781,1.408
socialist,9,4.742,2.314,5.29,1.971
society,7,4.853,2.353,5.909,1.832
sock,4,2.853,2.102,5.429,0.904
sock (clothes),4,3.424,2.202,5.485,1.077
sock (hit),4,4.412,2.264,3.382,1.515
sofa,4,3.265,2.146,5.941,0.968
soft,4,5.029,2.444,6.941,0.968
softly,6,4.727,2.192,6.485,1.019
soil,4,2.606,1.455,5.294,1.318
soil (earth),4,3.606,1.687,5.333,1.45
soil (mess up),4,3.314,1.924,2.629,1.436
solar,5,5.281,2.154,6.581,1.363
soldier,7,5.313,2.555,4.813,2.098
sole,4,3.324,1.727,5.286,1.136
sole (fish),4,2.906,1.809,5,0.853
sole (only),4,3.412,1.881,4.412,1.417
sole (shoe),4,2.516,1.604,5,0.492
solemn,6,2.906,1.665,3.75,1.5
solid,5,3.824,1.806,5.629,0.929
solution,8,4.879,1.903,7.394,1.179
solution (answer),8,5.152,2.376,7.303,1.403
solution (chemical),8,3.882,1.997,5.088,1.121
son,3,4.229,2.587,6.857,1.376
sonar,5,3.679,1.891,5.393,1.047
song,4,6.265,1.82,7.206,1.278
sonic,5,5.567,1.783,5.357,1.043
sonnet,6,4.516,2.123,6.061,1.347
soothe,6,4.677,2.632,7.588,0.878
soothing,8,4.771,2.392,7.629,1.017
sore,4,5.212,2.52,2.849,1.559
sorrow,6,3.657,2.495,2.061,1.043
soul,4,5.939,2.201,7.088,1.597
soup,4,3.875,2.355,5.788,1.148
sour,4,3.5,2.018,3.471,1.266
source,6,3.686,1.909,5.639,1.109
sovereign,9,4.133,1.928,5.2,1.327
sow,3,3.242,1.538,5.273,1.262
soya,4,3.353,1.908,5.206,0.719
spa,3,5.333,2.704,7.063,1.321
space,5,4.686,2.201,5.794,1.278
space (galaxies),5,6.765,2.157,6.5,1.399
space (room),5,4.343,1.851,5.824,0.923
spaceship,9,6.273,1.927,5.941,1.514
spade,5,3.633,1.683,4.75,0.901
spade (cards),5,3.969,2.243,5.382,0.94
spade (shovel),5,3.242,1.793,4.758,0.889
spank,5,6.571,1.99,3.886,1.982
spanner,7,2.75,1.696,4.875,1.244
spark,5,6.629,2.001,6.303,1.467
sparkle,7,6.529,2.159,7.514,1.339
speak,5,4.853,2.277,5.906,1.182
speaker,7,4.063,1.999,5.758,1.102
speaker (amplifier),7,5.086,2.196,5.714,1.161
speaker (orator),7,4.818,2.315,5.912,1.197
spear,5,5.844,2.033,3.273,1.399
special,7,6.824,1.317,7.727,1.188
speciality,10,5.576,2.27,7.235,1.238
spectacular,11,7.97,1.058,8.382,0.768
speech,6,5.333,1.964,6.063,1.171
speed,5,7.125,1.596,5.485,1.459
speedy,6,5.771,1.868,6.4,1.2
spell,5,4.469,2.264,5.514,1.381
spell (alphabet),5,3.941,1.846,5.588,0.878
spell (magical),5,6.657,1.956,6.829,1.978
spell (time period),5,3.636,2.057,4.879,1.008
spelling,8,3.4,1.711,5.371,1.197
sperm,5,5.353,2.028,5.441,1.288
sphere,6,4.452,1.965,5.656,0.922
spherical,9,3.969,1.776,5.226,0.941
spider,6,4.576,2.523,3.677,1.366
spin,4,5.382,2.029,5.314,1.166
spinach,7,3.152,1.725,5.125,1.691
spine,5,3.882,1.906,5.606,1.254
spire,5,4.129,2.136,5.324,1.021
spirit,6,6.375,1.495,6.875,1.269
spirit (drink),6,5.971,2.229,5.394,1.434
spirit (ghost),6,5.636,2.626,4.088,1.579
spirit (intention),6,5.629,2.058,6.824,1.248
spirit (soul),6,5.647,2.577,7.029,1.505
spit,4,3.813,2.228,2.697,1.243
split,5,3.879,1.552,4.091,1.19
sponge,6,3.314,1.72,5.2,0.855
sponsor,7,4.094,2.269,6.29,1.349
spooky,6,5.621,1.973,3.844,1.543
spoon,5,3.313,1.648,5.5,0.791
sport,5,5.059,2.376,6.314,1.833
sports,6,5.424,2.4,6.324,1.585
spot,4,3.75,1.785,3.938,1.088
spot (pimple),4,2.912,2.241,2.735,1.379
spot (stain),4,3.219,1.781,3.844,0.565
spouse,6,5.571,2.296,7,1.69
spray,5,3.882,1.859,4.941,0.968
spread,6,4.394,1.89,5.188,0.95
spread (food),6,4.177,2.007,5.941,1.187
spread (open),6,5,2.326,5.735,1.267
spree,5,6.067,2.016,4.733,1.436
spring,6,6.313,1.944,7.118,1.409
spring (coil),6,4.5,2.213,5.294,0.787
spring (jump),6,5.576,1.859,6.143,1.199
spring (season),6,7.294,1.563,7.114,1.45
spur,4,4.6,2.139,5.276,1.229
spurs,5,4.394,2.014,4.281,1.152
squad,5,4.688,1.878,5.273,1.399
square,6,2.515,1.579,4.939,0.547
squash,6,4.343,1.881,4.2,1.116
squash (crush),6,5.029,2.478,3.441,1.265
squash (sport),6,4.394,1.969,5.25,1.346
squash (vegetable),6,2.727,1.503,5.177,0.89
squat,5,4.543,2.247,4.943,1.453
squat (crouch),5,4.485,2.231,4.677,0.894
squat (short),5,3.353,1.678,4.364,1.068
squeeze,7,6.382,1.749,5.971,1.483
squid,5,3.807,2.007,4.546,0.956
squirrel,8,4.2,2.303,5.971,0.954
stab,4,6.182,2.43,1.853,1.331
stack,5,3.433,1.687,5.344,0.69
stadium,7,4.265,2.524,5.829,1.383
staff,5,3.294,1.707,5.147,1.375
staff (stick),5,3.735,2.133,5.114,1.115
staff (workforce),5,3.879,1.95,5.242,1.207
stag,4,5.71,1.971,5.903,1.118
stage,5,5.226,2.296,5.515,1.351
stagecoach,10,2.912,1.597,5.061,1.013
stagnant,8,3.069,2.273,3.071,1.28
stain,5,3.485,1.786,3.303,0.984
stake,5,4.758,2.23,4.324,1.47
stake (investment),5,3.697,2.263,5.059,1.474
stake (wooden),5,3.875,2.233,4.063,1.298
stale,5,2.548,1.073,2.903,0.995
stall,5,2.771,1.396,4.629,1.017
stall (hesitate),5,3.97,1.85,3.771,0.988
stall (kiosk),5,3.484,1.5,5.188,1.13
stallion,8,5.882,1.875,5.971,1.465
stammer,7,4.344,1.725,3.719,1.096
stamp,5,3.516,1.794,5.219,1.053
stance,6,4.514,2.383,5.618,1.351
stand,5,4.188,1.944,5.333,0.876
staple,6,2.765,1.664,5.091,0.753
staple (mainstay),6,3.1,1.446,5.3,1.187
staple (stationery),6,2.706,1.887,4.943,0.232
stapler,7,3,1.707,4.853,0.493
star,4,6.6,1.377,7.343,1.308
star (celebrity),4,5.697,2.599,5.576,1.985
star (sky),4,5.6,1.915,7.235,1.33
stare,5,5.387,1.735,3.781,1.34
starfish,8,4.171,2.249,5.706,1.226
stark,5,4.267,1.914,4.129,1.519
start,5,5.129,1.68,6.29,1.3
startle,7,6.281,2.308,3.686,1.09
starve,6,4.6,2.61,1.857,1.417
starving,8,4.813,2.53,2.03,1.446
statue,6,4.029,2.036,5.5,1.036
status,6,5.5,1.719,5.706,1.226
statute,7,3.484,1.812,5,1.051
stay,4,3.471,2.018,5.667,1.119
steak,5,5.273,2.609,6.091,2.065
steal,5,5.706,2.23,2.235,0.909
stealth,7,5.313,1.776,5.188,1.509
steam,5,4.419,1.81,5.281,0.8
steel,5,3.727,2.164,4.912,1.358
steep,5,4.908,1.975,3.746,1.151
steer,5,4.303,1.85,5.121,1.008
steer (cows),5,3.172,2.052,5.333,0.83
steer (direct),5,4.094,1.756,5.563,1.273
stem,4,3.636,2.042,5.353,0.904
stem (origin),4,3.844,2.017,5.735,1.146
stem (plant),4,3,2.151,5.273,1.188
stench,6,4.25,2.264,2.606,1.254
stereotype,10,4.343,2.216,2.912,1.483
stern,5,4.265,2.105,3.333,1.064
stern (attitude),5,4.938,2.045,3.394,1.841
stern (ship),5,3.546,2.105,5,0.985
steroids,8,5.097,2.388,3.063,1.478
stethoscope,11,4.844,1.906,5.313,1.424
steward,7,3.412,1.768,5.4,1.314
stick,5,2.824,1.543,4.788,0.913
stick (glue),5,3.4,1.76,5.059,1.136
stick (thin piece of wood),5,2.97,1.566,4.914,0.28
sticky,6,4.618,2.058,3.471,1.064
stiff,5,4.853,1.912,4.235,1.496
sting,5,5.2,2.459,2.429,0.838
stingy,6,4.212,2.447,2.636,1.344
stink,5,4.743,2.234,2.529,1.169
stir,4,4.455,1.971,5.152,0.989
stir (cook),4,4.121,1.737,5.758,1.016
stir (make trouble),4,5,2.309,2.457,1.38
stir (move),4,4.743,2.195,5.2,1.037
stock,5,3.438,1.853,5.406,1.247
stock (finance),5,3.206,2.139,4.735,1.313
stock (inventory),5,3.294,1.69,5.177,1.15
stock (soup),5,3.606,1.808,5.969,1.075
stolen,6,4.771,2.03,2.177,1.07
stomach,7,4.031,1.828,5.059,0.938
stone,5,3.344,1.428,5.063,0.966
stone (rock),5,2.857,1.915,4.853,0.772
stone (weight),5,4.03,2.007,4.212,1.552
stool,5,2.343,1.603,4.706,1.072
stool (chair),5,2.939,1.669,5,0.696
stool (faeces),5,2.4,1.808,2.8,1.527
stop,4,4.355,2.133,3.452,1.291
storage,7,2.943,1.804,5.088,1.039
store,5,3.667,1.7,5.344,0.775
store (put away for future),5,3.206,1.586,5.971,1.014
store (shop),5,4.303,1.714,5.394,0.814
storeroom,9,2.688,1.74,4.969,0.77
storm,5,6.576,1.478,3.543,1.762
story,5,5.484,1.982,6.71,1.325
stout,5,3,1.566,3.938,0.998
stove,5,3.636,1.755,5.588,1.24
strain,6,4.424,1.97,2.824,1.042
strand,6,3.382,1.663,4.941,0.765
strange,7,5.303,2.067,3.971,1.317
stranger,8,5.485,1.994,3.757,1.314
strangle,8,5.514,2.347,1.735,0.917
strap,5,4.2,2.054,4.714,0.74
straw,5,2.875,1.833,5.03,0.87
straw (drinking),5,3.886,2.352,5.5,0.738
straw (hay),5,2.943,1.739,5.147,0.974
strawberry,10,5.412,1.896,6.419,1.519
stray,5,4.032,1.47,3.688,0.95
streak,6,4.647,2.14,4.941,1.027
stream,6,4.382,1.91,6.114,1.41
street,6,3.656,1.573,5.313,0.726
strength,8,6.735,1.501,7.152,1.258
stress,6,5.441,2.851,1.912,1.147
stressful,9,4.333,2.878,2.121,1.066
stretch,7,4.871,1.621,5.719,1.328
strict,6,5.097,1.692,3.469,1.581
strictly,8,4.206,1.922,3.727,1.399
stride,6,4.941,2.1,5.971,1.224
strife,6,4.903,1.633,3.5,1.753
strike,6,5.061,2.449,3.424,1.759
strike (hit),6,5.265,2.832,2.829,1.612
strike (picket),6,4.677,2.234,4.375,1.341
string,6,3.118,2.04,5.229,0.59
strip,5,5.606,2.386,4.807,1.306
strip (naked),5,7.029,2.104,5.429,1.661
strip (narrow piece),5,3.5,1.914,4.912,0.702
strip (street),5,4.118,2.259,4.824,0.984
stripper,8,6.25,2.236,3.875,1.364
stroke,6,4.629,2.598,3.8,1.983
stroke (brain),6,5.529,2.821,2,1.68
stroke (pet),6,5.194,2.086,6.794,1.255
stroll,6,4.559,1.897,6.455,1.183
strong,6,6.706,1.978,7.571,1.379
struggle,8,4.576,2.45,2.853,1.458
stubble,7,4.257,2.143,5.344,0.988
stuck,5,4.394,2.159,3.382,1.058
student,7,5.177,1.917,6.086,1.519
study,5,3.743,2.26,5.429,2.046
stumble,7,4.839,1.969,3.875,1.293
stupid,6,4.152,2.217,2.25,1.173
style,5,5.914,1.888,6.441,1.117
stylish,7,5.743,1.947,7.086,1.422
subdue,6,3.742,1.9,4.061,1.594
subject,7,3.546,1.76,4.971,0.774
subjective,10,3.824,2.007,4.943,1.068
sublime,7,5.233,2.216,6.71,2.188
submarine,9,4.5,2.118,5.121,1.037
substance,9,4.5,2.033,5.303,1.623
substantial,11,5,2,6.514,1.442
substitute,10,3.75,1.714,4.394,1.369
subtle,6,3.879,1.935,5.818,0.936
subtract,8,3.182,1.623,4.147,1.061
suburb,6,2.938,1.413,4.788,1.43
suburbs,7,3.2,1.887,4.567,1.476
success,7,6.8,1.6,8.371,0.929
successful,10,6.853,1.942,8.206,0.963
suffer,6,5.182,3.099,1.743,1.499
suffering,9,4.121,2.422,1.563,1.029
suffix,6,2.938,1.58,4.677,0.963
suffocate,9,4.548,2.971,1.533,0.763
sugar,5,5.515,2.258,6.2,1.661
suicidal,8,3.6,2.851,1.343,0.924
suicide,7,5.031,3.015,1.382,1.213
suit,4,4.273,2.273,5.719,1.375
suit (legal),4,3.968,2.163,3.71,1.197
suit (playing cards),4,3.882,2.069,5.441,0.774
suit (special clothes),4,5.219,2.381,6.618,1.306
suit (to be fit for),4,4.281,2.168,6.364,1.322
suitcase,8,3.455,1.76,5.485,0.989
sulk,4,3.559,1.818,3.059,1.136
sulky,5,2.97,1.566,3.061,1.071
sulphur,7,3.629,2.126,4.765,1.352
sultan,6,4.444,2.233,5.063,0.998
summary,7,3.543,1.746,4.971,0.736
summer,6,6.886,1.737,7.8,1.141
sun,3,6.212,2.409,7.469,1.5
sunburn,7,4.829,1.993,2.714,0.913
sunk,4,3.229,1.551,3.152,1.019
sunlight,8,6.265,1.82,7.364,1.494
sunny,5,6.882,1.762,8.265,1.009
sunrise,7,6.182,1.946,7.788,1.037
sunset,6,5.886,2.754,7.472,1.424
sunshine,8,7.281,1.586,8.156,0.972
super,5,6.697,1.962,8.03,1.114
superb,6,6.882,1.952,8.485,0.821
supermarket,11,4.121,2.171,5.486,1.105
supplication,12,3.6,1.882,4.762,1.231
support,7,4.758,2.031,7.429,1.022
supportive,10,4.788,1.95,8,0.651
suppress,8,3.8,1.864,3.177,1.175
suppression,11,3.818,1.992,2.576,1.156
supreme,7,6.485,2.032,7.182,1.66
sure,4,4.914,1.933,6.486,1.156
surf,4,5.1,2.399,5.903,1.174
